iter	Passed	Remaining
0	138	138317
1	143	71691
2	149	49809
3	154	38594
4	160	31973
5	165	27392
6	170	24151
7	175	21822
8	180	19926
9	187	18534
10	192	17283
11	200	16477
12	207	15734
13	212	14932
14	219	14406
15	224	13820
16	233	13498
17	239	13093
18	245	12661
19	250	12271
20	257	11989
21	262	11659
22	268	11399
23	273	11106
24	279	10889
25	284	10647
26	288	10408
27	295	10242
28	300	10060
29	304	9857
30	310	9714
31	315	9547
32	319	9374
33	323	9181
34	326	8995
35	328	8806
36	330	8613
37	333	8435
38	335	8276
39	338	8120
40	340	7970
41	343	7824
42	345	7689
43	347	7557
44	349	7426
45	352	7303
46	354	7191
47	357	7083
48	359	6973
49	361	6866
50	363	6764
51	365	6663
52	367	6572
53	370	6491
54	372	6405
55	375	6329
56	377	6252
57	380	6180
58	383	6116
59	386	6047
60	388	5978
61	390	5909
62	393	5857
63	396	5798
64	399	5742
65	401	5678
66	403	5613
67	404	5550
68	406	5487
69	408	5425
70	410	5364
71	411	5307
72	414	5259
73	415	5204
74	417	5149
75	419	5097
76	420	5045
77	422	4996
78	424	4948
79	426	4901
80	428	4861
81	430	4819
82	431	4765
83	432	4721
84	434	4678
85	436	4635
86	437	4594
87	439	4554
88	441	4517
89	443	4482
90	445	4447
91	447	4412
92	448	4377
93	450	4342
94	452	4306
95	453	4273
96	455	4240
97	457	4208
98	459	4178
99	460	4146
100	462	4116
101	464	4085
102	465	4055
103	467	4026
104	469	3998
105	470	3970
106	472	3945
107	474	3921
108	476	3895
109	478	3869
110	480	3844
111	481	3820
112	483	3795
113	485	3770
114	486	3746
115	488	3724
116	490	3699
117	492	3677
118	493	3654
119	495	3633
120	497	3611
121	498	3587
122	500	3566
123	502	3546
124	503	3527
125	505	3509
126	507	3487
127	508	3467
128	510	3447
129	512	3428
130	513	3408
131	515	3389
132	517	3371
133	519	3360
134	521	3342
135	523	3326
136	525	3307
137	526	3290
138	528	3273
139	530	3256
140	531	3239
141	533	3222
142	535	3207
143	536	3191
144	538	3175
145	540	3160
146	541	3144
147	543	3129
148	545	3114
149	547	3100
150	549	3087
151	550	3073
152	552	3059
153	554	3045
154	556	3031
155	557	3018
156	559	3004
157	561	2993
158	563	2981
159	565	2969
160	566	2953
161	568	2941
162	570	2928
163	572	2915
164	573	2902
165	575	2891
166	577	2880
167	579	2872
168	582	2865
169	584	2856
170	587	2850
171	589	2839
172	591	2828
173	593	2816
174	595	2805
175	597	2796
176	599	2785
177	600	2773
178	602	2764
179	604	2753
180	606	2742
181	607	2731
182	609	2720
183	611	2710
184	612	2700
185	614	2689
186	616	2680
187	618	2671
188	620	2661
189	621	2651
190	623	2641
191	625	2632
192	627	2622
193	628	2613
194	630	2603
195	632	2595
196	635	2588
197	636	2580
198	638	2570
199	640	2560
200	641	2551
201	643	2542
202	645	2534
203	648	2529
204	650	2521
205	651	2512
206	653	2503
207	655	2495
208	657	2487
209	659	2479
210	661	2472
211	663	2465
212	665	2457
213	666	2449
214	668	2441
215	670	2433
216	672	2425
217	673	2417
218	675	2410
219	678	2404
220	679	2396
221	681	2388
222	683	2380
223	685	2373
224	687	2366
225	688	2358
226	690	2350
227	692	2343
228	694	2336
229	695	2328
230	697	2321
231	698	2313
232	700	2305
233	701	2297
234	703	2289
